Measure,Value
Sample Size,59
Mean SUS,70.84745762711864
SD,16.239122151535284
Median SUS,67.5
IQR,22.5
CI95 Low,66.61551934539573
CI95 High,75.07939590884156
Benchmark,68.0
Verdict,DEFENDED
