Short Column,Mean Rating,SD
sus_q1,3.81,1.04
sus_q2,2.17,0.99
sus_q3,3.81,1.06
sus_q4,2.17,1.05
sus_q5,3.73,0.93
sus_q6,2.07,0.93
sus_q7,3.86,0.99
sus_q8,2.05,1.02
sus_q9,3.73,0.94
sus_q10,2.15,1.03
